iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop,, total_vul_pop ,,
AGO,AGO.1.1_1,15.58337142,LMC,Africa,1.797639835,17537.71045,," 5,496.83 ",,
AGO,AGO.1.4_1,7.027308688,LMC,Africa,1.00385137,87943.27161,,,,
AGO,AGO.2.9_1,75.2707465,LMC,Africa,0.563288424,481656.1063,,,,
AGO,AGO.4.4_1,186.4879859,LMC,Africa,1.776606899,83385.48303,,,,
AGO,AGO.7.7_1,0.001493223,LMC,Africa,8.70E-05,128983.07,,,,
AGO,AGO.11.7_1,1068.933011,LMC,Africa,0.130671128,1776422.129,,,,
AGO,AGO.16.3_1,21.7920718,LMC,Africa,0.840974533,380624.6709,,,,
AGO,AGO.16.4_1,0.92846367,LMC,Africa,0.521444314,73940.10739,,,,
AGO,AGO.18.5_1,4120.807045,LMC,Africa,84.42924854,274444.1946,,,,
ALB,ALB.3.1_1,66359.31478,UMC,Europe,90.05633875,222576.5442,," 109,698.73 ",,
ALB,ALB.3.2_1,13.66296397,UMC,Europe,0.469971902,64853.58368,,,,
ALB,ALB.5.1_1,2022.388843,UMC,Europe,124.6703629,147330.6059,,,,
ALB,ALB.5.2_1,2568.051917,UMC,Europe,119.6126616,104568.9358,,,,
ALB,ALB.9.1_1,2133.503626,UMC,Europe,51.28180281,47476.05351,,,,
ALB,ALB.9.2_1,6630.583807,UMC,Europe,81.65064158,69733.05296,,,,
ALB,ALB.10.3_1,1929.656156,UMC,Europe,48.30807195,155568.9339,,,,
ALB,ALB.11.1_1,2481.523302,UMC,Europe,45.65061585,54933.79034,,,,
ALB,ALB.12.2_1,577.9693173,UMC,Europe,9.747623379,42776.92313,,,,
ALB,ALB.12.3_1,24982.07127,UMC,Europe,139.9645702,112781.2084,,,,
ARG,ARG.1.7_1,52.3419918,UMC,South America,0.452197501,519616.5399,," 36,912.86 ",,
ARG,ARG.1.10_1,9105.068282,UMC,South America,51.23722771,315610.0711,,,,
ARG,ARG.1.14_1,279.8672406,UMC,South America,2.409733792,472022.3249,,,,
ARG,ARG.1.15_1,2.371956837,UMC,South America,0.394010871,127192.0318,,,,
ARG,ARG.1.25_1,13.21472757,UMC,South America,58.66450196,8839.392419,,,,
ARG,ARG.1.27_1,1.210290082,UMC,South America,1.03077041,47188.00473,,,,
ARG,ARG.1.30_1,486.2989384,UMC,South America,20.44464068,62676.62791,,,,
ARG,ARG.1.31_1,13.95663899,UMC,South America,21.03170324,15272.33721,,,,
ARG,ARG.1.49_1,179.0177531,UMC,South America,212.4860443,5097.623806,,,,
ARG,ARG.1.52_1,336.0796945,UMC,South America,0.71875537,679043.0263,,,,
ARG,ARG.1.61_1,857.4068243,UMC,South America,27.18025096,60385.75127,,,,
ARG,ARG.1.73_1,80.06940032,UMC,South America,44.27115387,34702.30569,,,,
ARG,ARG.1.75_1,1708.136484,UMC,South America,101.9223232,28251.51351,,,,
ARG,ARG.1.87_1,66.97413633,UMC,South America,195.1618774,38780.18811,,,,
ARG,ARG.1.95_1,2133.575173,UMC,South America,1.659505118,815959.3858,,,,
ARG,ARG.1.108_1,481.7325332,UMC,South America,37.27783886,17329.02302,,,,
ARG,ARG.1.117_1,3008.060968,UMC,South America,17.98646068,612097.7417,,,,
ARG,ARG.1.118_1,14.83034642,UMC,South America,132.5529106,1866.467607,,,,
ARG,ARG.1.121_1,9.633088165,UMC,South America,14.14452848,57160.24456,,,,
ARG,ARG.1.126_1,0.066569969,UMC,South America,0.068407488,39168.80087,,,,
ARG,ARG.1.127_1,811.4165451,UMC,South America,372.9377279,37064.01306,,,,
ARG,ARG.4.1_1,6.187452762,UMC,South America,28.87842081,119960.0801,,,,
ARG,ARG.4.3_1,0.301815315,UMC,South America,0.060874827,243149.717,,,,
ARG,ARG.4.4_1,0.037432237,UMC,South America,5.470742141,1808.250309,,,,
ARG,ARG.4.11_1,1.908454108,UMC,South America,4.725271829,150642.2624,,,,
ARG,ARG.8.10_1,1.082018839,UMC,South America,1.355850239,17332.70122,,,,
ARG,ARG.16.1_1,93.62448058,UMC,South America,49.39409445,68365.66633,,,,
ARG,ARG.16.11_1,1144.554771,UMC,South America,131.8861112,35375.08343,,,,
ARG,ARG.20.1_1,775.979736,UMC,South America,122.2564158,16115.98144,,,,
ARG,ARG.20.2_1,58.65218449,UMC,South America,47.65688287,163704.4695,,,,
ARG,ARG.20.3_1,3396.512521,UMC,South America,154.3063601,137961.016,,,,
ARG,ARG.20.6_1,3.158505961,UMC,South America,12.56979649,13645.02418,,,,
ARG,ARG.23.1_1,11784.11524,UMC,South America,444.7018874,85066.94943,,,,
ARG,ARG.23.2_1,5.417053833,UMC,South America,43.15080599,67666.95109,,,,
